2016-12-26 23:21:47,780 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipmentgateway.xml
2016-12-26 23:21:47,795 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_dhl.xml
2016-12-26 23:21:47,805 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 22] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_picklist.xml
2016-12-26 23:21:47,826 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_ups.xml
2016-12-26 23:21:47,836 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [204] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services.xml
2016-12-26 23:21:47,849 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 40] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_pricepromo.xml
2016-12-26 23:21:47,883 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_fedex.xml
2016-12-26 23:21:47,912 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 16] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_subscription.xml
2016-12-26 23:21:47,914 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_usps.xml
2016-12-26 23:21:47,933 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_view.xml
2016-12-26 23:21:47,942 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 98] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment.xml
2016-12-26 23:21:47,950 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 47] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_store.xml
2016-12-26 23:21:47,966 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_olap.xml
2016-12-26 23:21:47,967 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_rental.xml
2016-12-26 23:21:47,984 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services.xml
2016-12-26 23:21:48,000 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 15] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_cost.xml
2016-12-26 23:21:48,001 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_uom.xml
2016-12-26 23:21:48,013 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_routing.xml
2016-12-26 23:21:48,034 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_upgrade.xml
2016-12-26 23:21:48,040 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 34] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_production_run.xml
2016-12-26 23:21:48,053 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_calendar.xml
2016-12-26 23:21:48,054 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_mrp.xml
2016-12-26 23:21:48,069 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_bom.xml
2016-12-26 23:21:48,087 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_billing.xml
2016-12-26 23:21:48,087 |OFBiz-config-1       |ModelServiceReader            |W| No parameter found for override parameter named: agreementText in service createAgreementTerm
2016-12-26 23:21:48,111 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_formula.xml
