2016-10-23 00:00:33,182 |OFBiz-JobQueue-1     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2016-10-22 00:00:33.001]
2016-10-23 00:00:33,184 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [415] milliseconds
2016-10-23 00:00:33,272 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [11206] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:33,431 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 514 milli-seconds:  EntityName: FinAccountTrans Sql: SELECT FIN_ACCOUNT_TRANS_ID, FIN_ACCOUNT_TRANS_TYPE_ID, FIN_ACCOUNT_ID, PARTY_ID, GL_RECONCILIATION_ID, TRANSACTION_DATE, ENTRY_DATE, AMOUNT, PAYMENT_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, PERFORMED_BY_PARTY_ID, REASON_ENUM_ID, COMMENTS, STATUS_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.FIN_ACCOUNT_TRANS WHERE (1=0) where clause:[]
2016-10-23 00:00:33,436 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoFinAccountReconciliation] finished in [4036] milliseconds
2016-10-23 00:00:33,497 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [11207] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:33,515 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2016-10-23 00:00:33,517 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [18] milliseconds
2016-10-23 00:00:34,569 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 889 milli-seconds:  EntityName: OrderItem Sql: SELECT ORDER_ID, ORDER_ITEM_SEQ_ID, EXTERNAL_ID, ORDER_ITEM_TYPE_ID, ORDER_ITEM_GROUP_SEQ_ID, IS_ITEM_GROUP_PRIMARY, FROM_INVENTORY_ITEM_ID, BUDGET_ID, BUDGET_ITEM_SEQ_ID, PRODUCT_ID, SUPPLIER_PRODUCT_ID, PRODUCT_FEATURE_ID, PROD_CATALOG_ID, PRODUCT_CATEGORY_ID, IS_PROMO, QUOTE_ID, QUOTE_ITEM_SEQ_ID, SHOPPING_LIST_ID, SHOPPING_LIST_ITEM_SEQ_ID, SUBSCRIPTION_ID, DEPLOYMENT_ID, QUANTITY, CANCEL_QUANTITY, SELECTED_AMOUNT, UNIT_PRICE, UNIT_LIST_PRICE, UNIT_AVERAGE_COST, UNIT_RECURRING_PRICE, IS_MODIFIED_PRICE, RECURRING_FREQ_UOM_ID, ITEM_DESCRIPTION, COMMENTS, CORRESPONDING_PO_ID, STATUS_ID, SYNC_STATUS_ID, ESTIMATED_SHIP_DATE, ESTIMATED_DELIVERY_DATE, AUTO_CANCEL_DATE, DONT_CANCEL_SET_DATE, DONT_CANCEL_SET_USER_LOGIN, SHIP_BEFORE_DATE, SHIP_AFTER_DATE, CANCEL_BACK_ORDER_DATE, OVERRIDE_GL_ACCOUNT_ID, SALES_OPPORTUNITY_ID, CHANGE_BY_USER_LOGIN_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_ITEM WHERE ((ORDER_ID = ?)) where clause:[ORDER_ID=DEMO10091]
2016-10-23 00:00:34,572 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [1300] milliseconds
